ID,Date,Link,Country,State,District,Lon,Lat,Keyword,Source,WeekNumber,Type
1,15-01-20,https://indianexpress.com/article/india/jalandhar-wheat-farmers-warned-against-yellow-rust-attack-6216754/,India,Punjab,Jalandhar,75.5537,31.2138,loss+crop+yield+powdery+yellow+linear+stripes+leaves+propiconazole+rust,indianexpress,3,yellow rust
2,20-01-20,https://www.tribuneindia.com/news/few-takers-for-one-time-settlement-scheme-28553,India,Punjab,Rupnagar,76.4728,31.0625,pesticides+yellow+crop+large+area+rust,tribuneindia,4,yellow rust
3,20-01-20,https://www.tribuneindia.com/news/few-takers-for-one-time-settlement-scheme-28553,India,Punjab,Hoshiarpur,75.8446,31.6273,pesticides+yellow+crop+large+area+rust,tribuneindia,4,yellow rust
4,21-01-20,https://www.dawn.com/news/1529558/wheat-import-to-sow-seeds-of-hopelessness,Pakistan,Punjab,Lahore,74.3541,31.4682,yield+season+low+rust+crop,dawn,4,rust
5,21-01-20,https://www.newindianexpress.com/nation/2020/jan/21/punjab-on-alert-as-marauding-locust-army-ravages-wheat-crop-in-rajasthan-2092520.html,India,Punjab,Rupnagar,76.4728,31.0625,neighbouring+pesticides+yellow+crop+large+area+rust,newindianexpress,4,yellow rust
6,21-01-20,https://www.newindianexpress.com/nation/2020/jan/21/punjab-on-alert-as-marauding-locust-army-ravages-wheat-crop-in-rajasthan-2092520.html,India,Punjab,Hoshiarpur,75.8446,31.6273,neighbouring+pesticides+yellow+crop+large+area+rust,newindianexpress,4,yellow rust
7,23-01-20,https://timesofindia.indiatimes.com/city/chandigarh/haryana-yellow-rust-hits-wheat-at-ambala-villages/articleshow/73555063.cms,India,Haryana,Ambala,76.9661,30.3585,yellow+rust+wh-711+hd2967+varieties+air-borne+old+seeds+propiconazole,indiatimes,4,yellow rust
8,23-01-20,https://timesofindia.indiatimes.com/city/chandigarh/haryana-yellow-rust-hits-wheat-at-ambala-villages/articleshow/73555063.cms,India,Haryana,Karnal,76.8809,29.6969,yellow+rust+wh-711+hd2967+varieties+air-borne+old+seeds+propiconazole,indiatimes,4,yellow rust
9,24-01-20,https://timesofindia.indiatimes.com/city/gurgaon/yellow-rust-on-wheat-in-two-ambala-villages/articleshow/73572477.cms,India,Haryana,Ambala,76.9661,30.3585,hussaini+dhanaura+villages+sub-mountainous+naraingarh+propiconazole+crop+air-borne+yellow+rust,indiatimes,4,yellow rust
10,29-01-20,https://timesofindia.indiatimes.com/city/gurgaon/another-case-of-yellow-rust-attack-reported-in-yamunanagar-village/articleshow/73738410.cms,India,Haryana,Yamunanagar,77.3303,30.2575,mughalwali+village+yellow+rust+3-acres+hd-2967+variety+crop+naraingarh+propiconazole,indiatimes,5,yellow rust
11,29-01-20,https://timesofindia.indiatimes.com/city/gurgaon/another-case-of-yellow-rust-attack-reported-in-yamunanagar-village/articleshow/73738410.cms,India,Haryana,Panchkula,76.9585,30.7101,mughalwali+village+yellow+rust+3-acres+hd-2967+variety+crop+naraingarh+propiconazole,indiatimes,5,yellow rust
12,29-01-20,https://timesofindia.indiatimes.com/city/gurgaon/another-case-of-yellow-rust-attack-reported-in-yamunanagar-village/articleshow/73738410.cms,India,Haryana,Kurukshetra,76.8297,30.0499,mughalwali+village+yellow+rust+3-acres+hd-2967+variety+crop+naraingarh+propiconazole,indiatimes,5,yellow rust
13,29-01-20,https://www.thehindu.com/news/national/other-states/yellow-rust-in-wheat-crop-causes-alarm-in-punjab-and-haryana/article30686820.ece,India,Punjab,Pathankot,75.6144,32.3027,yellow+rust+crop+drop+yield+minimum+temperature+insecticides+humid+sub-mountainous,thehindu,5,yellow rust
14,29-01-20,https://www.thehindu.com/news/national/other-states/yellow-rust-in-wheat-crop-causes-alarm-in-punjab-and-haryana/article30686820.ece,India,Punjab,Rupnagar,76.4728,31.0625,yellow+rust+crop+drop+yield+minimum+temperature+insecticides+humid+sub-mountainous,thehindu,5,yellow rust
15,29-01-20,https://www.thehindu.com/news/national/other-states/yellow-rust-in-wheat-crop-causes-alarm-in-punjab-and-haryana/article30686820.ece,India,Punjab,Hoshiarpur,75.8446,31.6273,yellow+rust+crop+drop+yield+minimum+temperature+insecticides+humid+sub-mountainous,thehindu,5,yellow rust
16,29-01-20,https://www.thehindu.com/news/national/other-states/yellow-rust-in-wheat-crop-causes-alarm-in-punjab-and-haryana/article30686820.ece,India,Haryana,Ambala,76.9661,30.3585,yellow+rust+crop+drop+yield+minimum+temperature+insecticides+humid+sub-mountainous,thehindu,5,yellow rust
17,29-01-20,https://www.thehindu.com/news/national/other-states/yellow-rust-in-wheat-crop-causes-alarm-in-punjab-and-haryana/article30686820.ece,India,Haryana,Yamunanagar,77.3303,30.2575,yellow+rust+crop+drop+yield+minimum+temperature+insecticides+humid+sub-mountainous,thehindu,5,yellow rust
18,29-01-20,https://www.thehindu.com/news/national/other-states/yellow-rust-in-wheat-crop-causes-alarm-in-punjab-and-haryana/article30686820.ece,India,Haryana,Panchkula,76.9585,30.7101,yellow+rust+crop+drop+yield+minimum+temperature+insecticides+humid+sub-mountainous,thehindu,5,yellow rust
19,29-01-20,https://www.tribuneindia.com/news/yellow-rust-attack-sets-off-alarm-bells-in-hry-32738,India,Haryana,Ambala,76.9661,30.3585,yellow+rust+cold+humid+bunt+fungal+diseases+damage+crop+stripe+loss+grain,tribuneindia,5,yellow rust
20,29-01-20,https://www.tribuneindia.com/news/yellow-rust-attack-sets-off-alarm-bells-in-hry-32738,India,Haryana,Karnal,76.8809,29.6969,yellow+rust+cold+humid+bunt+fungal+diseases+damage+crop+stripe+loss+grain,tribuneindia,5,yellow rust
21,29-01-20,https://www.tribuneindia.com/news/yellow-rust-attack-sets-off-alarm-bells-in-hry-32738,India,Haryana,Yamunanagar,77.3303,30.2575,yellow+rust+cold+humid+bunt+fungal+diseases+damage+crop+stripe+loss+grain,tribuneindia,5,yellow rust
22,06-02-20,https://www.dawn.com/news/1532759,Pakistan,N.W.F.P.,Nowshera,71.9769,33.9218,wheat+pathogen+leaf+rust+warmer+areas+varieties+highly+productive+rust+resistant+varieties,,6,leaf rust
23,06-02-20,https://www.dawn.com/news/1532759,Pakistan,N.W.F.P.,Mardan,72.0966,34.3096,wheat+pathogen+leaf+rust+warmer+areas+varieties+highly+productive+rust+resistant+varieties,,6,leaf rust
24,06-02-20,https://www.dawn.com/news/1532759,Pakistan,N.W.F.P.,Swabi,72.4683,34.1364,wheat+pathogen+leaf+rust+warmer+areas+varieties+highly+productive+rust+resistant+varieties,,6,leaf rust
25,09-02-20,https://www.tribuneindia.com/news/jalandhar/yellow-rust-hits-wheat-in-some-areas-of-dist-38653,India,Punjab,Jalandhar,75.5537,31.2138,yellow+rust+losses++yield+hd3086+wheat+variety,tribuneindia,5,yellow rust
26,09-02-20,https://www.tribuneindia.com/news/jalandhar/yellow-rust-hits-wheat-in-some-areas-of-dist-38653,India,Punjab,Hoshiarpur,75.8446,31.6273,yellow+rust+losses++yield+hd3086+wheat+variety,tribuneindia,5,yellow rust
27,11-02-20,https://timesofindia.indiatimes.com/city/chandigarh/karnals-first-case-of-yellow-rust-in-indri/articleshow/74071733.cms,India,Haryana,Karnal,76.8809,29.6969,nalvikhurd+village+fungal+disease+first+case+hd-2851+variety+propiconazole+yellow+rust,indiatimes,7,yellow rust
28,11-02-20,https://timesofindia.indiatimes.com/city/chandigarh/karnals-first-case-of-yellow-rust-in-indri/articleshow/74071733.cms,India,Haryana,Ambala,76.9661,30.3585,nalvikhurd+village+fungal+disease+first+case+hd-2851+variety+propiconazole+yellow+rust,indiatimes,7,yellow rust
29,11-02-20,https://timesofindia.indiatimes.com/city/chandigarh/karnals-first-case-of-yellow-rust-in-indri/articleshow/74071733.cms,India,Haryana,Panchkula,76.9585,30.7101,nalvikhurd+village+fungal+disease+first+case+hd-2851+variety+propiconazole+yellow+rust,indiatimes,7,yellow rust
30,11-02-20,https://timesofindia.indiatimes.com/city/chandigarh/karnals-first-case-of-yellow-rust-in-indri/articleshow/74071733.cms,India,Haryana,Kurukshetra,76.8297,30.0499,nalvikhurd+village+fungal+disease+first+case+hd-2851+variety+propiconazole+yellow+rust,indiatimes,7,yellow rust
31,11-02-20,https://timesofindia.indiatimes.com/city/chandigarh/karnals-first-case-of-yellow-rust-in-indri/articleshow/74071733.cms,India,Haryana,Yamunanagar,77.3303,30.2575,nalvikhurd+village+fungal+disease+first+case+hd-2851+variety+propiconazole+yellow+rust,indiatimes,7,yellow rust
32,13-02-20,https://www.tribuneindia.com/news/haryana/yellow-rust-detected-in-16-acres-in-yamunanagar-dist-41010,India,Haryana,Yamunanagar,77.3303,30.2575,yellow+rust+16-acres+hd 2967+sri ram-231+mughalwali+village+fungicide+propiconazole,tribuneindia,7,yellow rust
33,18-02-20,https://www.tribuneindia.com/news/haryana/same-yellow-rust-pathogen-attacking-wheat-since-13-43140,India,Haryana,Karnal,76.8809,29.6969,yellow+rust+varieties+dbw-222+dbw-187+crop+pathogen+110S119+46S119+110S84,tribuneindia,8,yellow rust
34,18-02-20,https://www.tribuneindia.com/news/haryana/same-yellow-rust-pathogen-attacking-wheat-since-13-43140,India,Haryana,Ambala,76.9661,30.3585,yellow+rust+varieties+dbw-222+dbw-187+crop+pathogen+110S119+46S119+110S84,tribuneindia,8,yellow rust
35,18-02-20,https://www.tribuneindia.com/news/haryana/same-yellow-rust-pathogen-attacking-wheat-since-13-43140,India,Haryana,Yamunanagar,77.3303,30.2575,yellow+rust+varieties+dbw-222+dbw-187+crop+pathogen+110S119+46S119+110S84,tribuneindia,8,yellow rust
36,29-02-20,https://www.thenews.com.pk/print/621435-wheat-harvest-seen-down-1-5-million-tons-on-crop-disease,Pakistan,F.A.T.A.,Khyber,71.0608,33.9565,production+1.5 million+tons+less+rust+fungus+diseases+sindh+leaf+stem+stripe,thenews,9,"leaf, stem, stripe rust"
37,29-02-20,https://www.thenews.com.pk/print/621435-wheat-harvest-seen-down-1-5-million-tons-on-crop-disease,Pakistan,Punjab,Lahore,74.3541,31.4682,production+1.5 million+tons+less+rust+fungus+diseases+sindh+leaf+stem+stripe,thenews,9,"leaf, stem, stripe rust"
38,01-03-20,https://www.tribuneindia.com/news/himachal/yellow-rust-attacks-wheat-crop-in-kangra-una-dists-49547,India,Himachal Pradesh,Una,76.1957,31.5827,yellow+rust+shortage+pesticides+spray+tilt+fungicide+wheat,tribuneindia,9,yellow rust
39,01-03-20,https://www.tribuneindia.com/news/himachal/yellow-rust-attacks-wheat-crop-in-kangra-una-dists-49547,India,Himachal Pradesh,Kangra,76.3022,32.1103,yellow+rust+shortage+pesticides+spray+tilt+fungicide+wheat,tribuneindia,9,yellow rust
40,01-03-20,https://www.tribuneindia.com/news/himachal/yellow-rust-attacks-wheat-crop-in-kangra-una-dists-49547,India,Himachal Pradesh,Hamirpur,76.511,31.6705,yellow+rust+shortage+pesticides+spray+tilt+fungicide+wheat,tribuneindia,9,yellow rust
41,11-03-20,https://www.thenews.com.pk/print/627569-wheat-crop-under-yellow-rust-attack-in-south-punjab,Pakistan,Punjab,Dera Ghazi Kha,70.2345,30.0733,yellow+rust+all+districts+south+punjab+drop+yield+humidity+34 spots+12 spots+ 10 spots,thenews,11,yellow rust
42,11-03-20,https://www.thenews.com.pk/print/627569-wheat-crop-under-yellow-rust-attack-in-south-punjab,Pakistan,Punjab,Bahawalpur,71.7347,28.8124,yellow+rust+all+districts+south+punjab+drop+yield+humidity+34 spots+12 spots+ 10 spots,thenews,11,yellow rust
43,11-03-20,https://www.thenews.com.pk/print/627569-wheat-crop-under-yellow-rust-attack-in-south-punjab,Pakistan,Punjab,Sahiwal,72.8731,30.537,yellow+rust+all+districts+south+punjab+drop+yield+humidity+34 spots+12 spots+ 10 spots,thenews,11,yellow rust
44,11-03-20,https://www.thenews.com.pk/print/627569-wheat-crop-under-yellow-rust-attack-in-south-punjab,Pakistan,Punjab,Multan,71.4102,29.8998,yellow+rust+all+districts+south+punjab+drop+yield+humidity+34 spots+12 spots+ 10 spots,thenews,11,yellow rust
45,29-03-20,https://www.dawn.com/news/1544568,Pakistan,Punjab,Chakwal,72.5062,32.8937,yellow+heavy+rains+cold+temperature+variety+rodi+leaf+stem+stripe+rust+potohor,dawn,13,"leaf, stem, stripe rust"
46,29-03-20,https://www.dawn.com/news/1544568,Pakistan,Punjab,Rawalpindi,73.1605,33.4749,yellow+heavy+rains+cold+temperature+variety+rodi+leaf+stem+stripe+rust+potohor,dawn,13,"leaf, stem, stripe rust"
47,29-03-20,https://www.dawn.com/news/1544568,Pakistan,Punjab,Jhelum,73.2739,32.8339,yellow+heavy+rains+cold+temperature+variety+rodi+leaf+stem+stripe+rust+potohor,dawn,13,"leaf, stem, stripe rust"
