ID,Date,Link,Country,State,District,Lon,Lat,Keyword,Source,WeekNumber,Type
1,01-01-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Uttar Pradesh,Fatehpur,80.7982,25.8779,yellow rust + 30ha,iiwbr newsletter,1,yellow rust
2,01-01-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Himachal Pradesh,Solan,76.8957,31.0466,yellow rust + 30ha,iiwbr newsletter,1,yellow rust
3,01-01-20,https://www.iiwbr.org/wp-content/uploads/2020/03/Wheat-Crop-Health-Newsletter-February-2020.pdf,India,Himachal Pradesh,Kangra,76.3022,32.1103,yellow rust + 30ha,iiwbr newsletter,1,yellow rust
4,08-01-20,https://www.tribuneindia.com/news/haryana/farmers-cautioned-on-yellow-rust-23748,India,Himachal Pradesh,Kangra,76.3022,32.1103,yellow+rust+stagnation+rain+25 lakh hectares+1.78 lakh hectares,tribuneindia,2,yellow rust
5,20-01-20,https://www.tribuneindia.com/news/few-takers-for-one-time-settlement-scheme-28553,India,Punjab,Rupnagar,76.4728,31.0625,pesticides+yellow+crop+large+area+rust,tribuneindia,4,yellow rust
6,20-01-20,https://www.tribuneindia.com/news/few-takers-for-one-time-settlement-scheme-28553,India,Punjab,Hoshiarpur,75.8446,31.6273,pesticides+yellow+crop+large+area+rust,tribuneindia,4,yellow rust
7,21-01-20,https://www.newindianexpress.com/nation/2020/jan/21/punjab-on-alert-as-marauding-locust-army-ravages-wheat-crop-in-rajasthan-2092520.html,India,Punjab,Rupnagar,76.4728,31.0625,neighbouring+pesticides+yellow+crop+large+area+rust,newindianexpress,4,yellow rust
8,21-01-20,https://www.newindianexpress.com/nation/2020/jan/21/punjab-on-alert-as-marauding-locust-army-ravages-wheat-crop-in-rajasthan-2092520.html,India,Punjab,Hoshiarpur,75.8446,31.6273,neighbouring+pesticides+yellow+crop+large+area+rust,newindianexpress,4,yellow rust
9,23-01-20,https://timesofindia.indiatimes.com/city/chandigarh/haryana-yellow-rust-hits-wheat-at-ambala-villages/articleshow/73555063.cms,India,Haryana,Ambala,76.9661,30.3585,yellow+rust+wh-711+hd2967+varieties+air-borne+old+seeds+propiconazole+WH-711+HD2967+8 acres,indiatimes,4,yellow rust
10,28-01-20,https://www.tribuneindia.com/news/haryana/yellow-rust-attack-sets-off-alarm-bells-in-hry-32738,India,Haryana,Ambala,76.9661,30.3585,wheat+yellow+rust+humid+karnal bunt+stripe+rust,tribuneindia,5,yellow rust
