Country,State,District,X,Y
India,Andaman and Nicobar,Nicobar Islands,93.5991,7.5255
India,Andaman and Nicobar,North and Middle Andaman,92.8729,12.8529
India,Andaman and Nicobar,South Andaman,92.6651,11.5281
India,Andhra Pradesh,Anantapur,77.5708,14.4751
India,Andhra Pradesh,Chittoor,79.0039,13.4566
India,Andhra Pradesh,East Godavari,82.001,17.1839
India,Andhra Pradesh,Guntur,80.0813,16.2914
India,Andhra Pradesh,Krishna,80.7929,16.5504
India,Andhra Pradesh,Kurnool,78,15.528
India,Andhra Pradesh,Nellore,79.72,14.4353
India,Andhra Pradesh,Prakasam,79.5095,15.6114
India,Andhra Pradesh,Srikakulam,83.9793,18.5712
India,Andhra Pradesh,Visakhapatnam,82.6819,17.8847
India,Andhra Pradesh,Vizianagaram,83.3638,18.4653
India,Andhra Pradesh,West Godavari,81.3922,16.8869
India,Andhra Pradesh,Y.S.R.,78.7743,14.4507
India,Arunachal Pradesh,Anjaw,96.8269,28.0722
India,Arunachal Pradesh,Changlang,96.3449,27.3704
India,Arunachal Pradesh,Dibang Valley,95.9428,28.9551
India,Arunachal Pradesh,East Kameng,93.032,27.294
India,Arunachal Pradesh,East Siang,95.1633,28.1179
India,Arunachal Pradesh,Kurung Kumey,93.3178,28.038
India,Arunachal Pradesh,Lohit,96.2282,27.8709
India,Arunachal Pradesh,Longding,95.3357,26.8585
India,Arunachal Pradesh,Lower Dibang Valley,95.8178,28.364
India,Arunachal Pradesh,Lower Subansiri,93.8723,27.6711
India,Arunachal Pradesh,Namsai,95.8997,27.6526
India,Arunachal Pradesh,Papum Pare,93.5882,27.2746
India,Arunachal Pradesh,Tawang,91.9183,27.6557
India,Arunachal Pradesh,Tirap,95.5301,27.0346
India,Arunachal Pradesh,Upper Siang,94.9082,28.8283
India,Arunachal Pradesh,Upper Subansiri,93.9325,28.2917
India,Arunachal Pradesh,West Kameng,92.5148,27.4339
India,Arunachal Pradesh,West Siang,94.5083,28.3141
India,Assam,Baksa,91.3416,26.666
India,Assam,Barpeta,91.0037,26.3377
India,Assam,Bongaigaon,90.6135,26.3463
India,Assam,Cachar,92.8569,24.814
India,Assam,Chirang,90.6785,26.627
India,Assam,Darrang,92.0344,26.4494
India,Assam,Dhemaji,94.7802,27.5904
India,Assam,Dhubri,90.0279,26.1016
India,Assam,Dibrugarh,95.0549,27.3714
India,Assam,Dima Hasao,93.034,25.3801
India,Assam,Goalpara,90.6087,26.048
India,Assam,Golaghat,93.8369,26.4788
India,Assam,Hailakandi,92.589,24.4965
India,Assam,Jorhat,94.2741,26.7952
India,Assam,Kamrup,91.4271,26.1036
India,Assam,Kamrup Metropolitan,91.9309,26.1314
India,Assam,Karbi Anglong,93.1476,26.0684
India,Assam,Karimganj,92.3795,24.5804
