ID,Source,Date,Country,State UID,State,District,Lon,Lat,Reported Variety,Reported Growth Stage,Keywords,Disease UID,Disease,,,,
1,IIWBR - Feb 2020,14-02-20,India,1,Haryana,Yamunanagar,77.3303,30.2575,Spark,No Info,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
2,IIWBR - Feb 2020,14-02-20,India,1,Haryana,Yamunanagar,77.3303,30.2575,Barbat,No Info,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
3,IIWBR - Feb 2020,14-02-20,India,1,Haryana,Yamunanagar,77.3303,30.2575,HD 3086,No Info,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
4,IIWBR - Feb 2020,14-02-20,India,1,Haryana,Yamunanagar,77.3303,30.2575,HD 2967,No Info,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
5,IIWBR - Feb 2020,14-02-20,India,2,Himachal Pradesh,Bilaspur,76.6576,31.3753,Spark,No Info,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
6,IIWBR - Feb 2020,14-02-20,India,2,Himachal Pradesh,Bilaspur,76.6576,31.3753,Barbat,No Info,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
7,IIWBR - Feb 2020,14-02-20,India,2,Himachal Pradesh,Bilaspur,76.6576,31.3753,HD 3086,No Info,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
8,IIWBR - Feb 2020,14-02-20,India,2,Himachal Pradesh,Bilaspur,76.6576,31.3753,HD 2967,No Info,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
9,IIWBR - Feb 2020,14-02-20,India,1,Haryana,Ambala,76.9661,30.3585,Spark,No Info,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
10,IIWBR - Feb 2020,14-02-20,India,1,Haryana,Ambala,76.9661,30.3585,Barbat,No Info,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
11,IIWBR - Feb 2020,14-02-20,India,1,Haryana,Ambala,76.9661,30.3585,HD 3086,No Info,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
12,IIWBR - Feb 2020,14-02-20,India,1,Haryana,Ambala,76.9661,30.3585,HD 2967,No Info,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
13,IIWBR - Feb 2020,10-02-20,India,3,Jammu and Kashmir,Jammu,74.7319,32.7991,HD 2967,No Info,yellow rust + brown rust,1,Yellow rust,,,,
14,IIWBR - Feb 2020,10-02-20,India,3,Jammu and Kashmir,Jammu,74.7319,32.7991,PBW 175,No Info,yellow rust + brown rust,1,Yellow rust,,,,
15,IIWBR - Feb 2020,01-01-20,India,6,Uttar Pradesh,Fatehpur,80.7982,25.8779,PBW 725,Tillering/jointing,yellow rust + 30ha,1,Yellow rust,,,,
16,IIWBR - Feb 2020,01-01-20,India,6,Uttar Pradesh,Fatehpur,80.7982,25.8779,HD 3086,Tillering/jointing,yellow rust + 30ha,1,Yellow rust,,,,
17,IIWBR - Feb 2020,01-01-20,India,6,Uttar Pradesh,Fatehpur,80.7982,25.8779,HS542,Tillering/jointing,yellow rust + 30ha,1,Yellow rust,,,,
18,IIWBR - Feb 2020,01-01-20,India,6,Uttar Pradesh,Fatehpur,80.7982,25.8779,HD 2967,Tillering/jointing,yellow rust + 30ha,1,Yellow rust,,,,
19,IIWBR - Feb 2020,01-01-20,India,2,Himachal Pradesh,Solan,76.8957,31.0466,PBW 725,Tillering/jointing,yellow rust + 30ha,1,Yellow rust,,,,
20,IIWBR - Feb 2020,01-01-20,India,2,Himachal Pradesh,Solan,76.8957,31.0466,HD 3086,Tillering/jointing,yellow rust + 30ha,1,Yellow rust,,,,
21,IIWBR - Feb 2020,01-01-20,India,2,Himachal Pradesh,Solan,76.8957,31.0466,HS542,Tillering/jointing,yellow rust + 30ha,1,Yellow rust,,,,
22,IIWBR - Feb 2020,01-01-20,India,2,Himachal Pradesh,Solan,76.8957,31.0466,HD 2967,Tillering/jointing,yellow rust + 30ha,1,Yellow rust,,,,
23,IIWBR - Feb 2020,01-01-20,India,2,Himachal Pradesh,Kangra,76.3022,32.1103,PBW 725,Tillering/jointing,yellow rust + 30ha,1,Yellow rust,,,,
24,IIWBR - Feb 2020,01-01-20,India,2,Himachal Pradesh,Kangra,76.3022,32.1103,HD 3086,Tillering/jointing,yellow rust + 30ha,1,Yellow rust,,,,
25,IIWBR - Feb 2020,01-01-20,India,2,Himachal Pradesh,Kangra,76.3022,32.1103,HS542,Tillering/jointing,yellow rust + 30ha,1,Yellow rust,,,,
26,IIWBR - Feb 2020,01-01-20,India,2,Himachal Pradesh,Kangra,76.3022,32.1103,HD 2967,Tillering/jointing,yellow rust + 30ha,1,Yellow rust,,,,
27,IIWBR - Feb 2020,11-02-20,India,2,Himachal Pradesh,Kangra,76.3022,32.1103,HD 3086,Jointing/booting,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
28,IIWBR - Feb 2020,11-02-20,India,2,Himachal Pradesh,Kangra,76.3022,32.1103,WH 1105,Jointing/booting,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
29,IIWBR - Feb 2020,11-02-20,India,2,Himachal Pradesh,Kangra,76.3022,32.1103,PBW 677,Jointing/booting,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
30,IIWBR - Feb 2020,14-02-20,India,2,Himachal Pradesh,Kangra,76.3022,32.1103,WH 1105,Jointing/booting/flowering,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
31,IIWBR - Feb 2020,14-02-20,India,2,Himachal Pradesh,Kangra,76.3022,32.1103,DPW 621-50,Jointing/booting/flowering,yellow rust + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
32,IIWBR - Feb 2020,29-02-20,India,7,Uttarakhand,Almora,79.489,29.6952,Local variety,Grain filling,yellow rust + 7 ha + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
33,IIWBR - Feb 2020,29-02-20,India,7,Uttarakhand,Almora,79.489,29.6952,HD 2967,Grain filling,yellow rust + 7 ha + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
34,IIWBR - Feb 2020,29-02-20,India,7,Uttarakhand,Almora,79.489,29.6952,HD 3086,Grain filling,yellow rust + 7 ha + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
35,IIWBR - Feb 2020,29-02-20,India,7,Uttarakhand,Almora,79.489,29.6952,PBW 550,Grain filling,yellow rust + 7 ha + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
36,IIWBR - Feb 2020,29-02-20,India,7,Uttarakhand,Almora,79.489,29.6952,PBW 502,Grain filling,yellow rust + 7 ha + propiconazole 0.1% + 15 days,1,Yellow rust,,,,
