week,Start,End
1,30-Dec-19,05-Jan-20
2,06-Jan-20,12-Jan-20
3,13-Jan-20,19-Jan-20
4,20-Jan-20,26-Jan-20
5,27-Jan-20,02-Feb-20
6,03-Feb-20,09-Feb-20
7,10-Feb-20,16-Feb-20
8,17-Feb-20,23-Feb-20
9,24-Feb-20,01-Mar-20
10,02-Mar-20,08-Mar-20
11,09-Mar-20,15-Mar-20
12,16-Mar-20,22-Mar-20
13,23-Mar-20,29-Mar-20
14,30-Mar-20,05-Apr-20
15,06-Apr-20,12-Apr-20
16,13-Apr-20,19-Apr-20
17,20-Apr-20,26-Apr-20
18,27-Apr-20,03-May-20
19,04-May-20,10-May-20
20,11-May-20,17-May-20
21,18-May-20,24-May-20
22,25-May-20,31-May-20
23,01-Jun-20,07-Jun-20
24,08-Jun-20,14-Jun-20
25,15-Jun-20,21-Jun-20
26,22-Jun-20,28-Jun-20
27,29-Jun-20,05-Jul-20
28,06-Jul-20,12-Jul-20
29,13-Jul-20,19-Jul-20
30,20-Jul-20,26-Jul-20
31,27-Jul-20,02-Aug-20
32,03-Aug-20,09-Aug-20
33,10-Aug-20,16-Aug-20
34,17-Aug-20,23-Aug-20
35,24-Aug-20,30-Aug-20
36,31-Aug-20,06-Sep-20
37,07-Sep-20,13-Sep-20
38,14-Sep-20,20-Sep-20
39,21-Sep-20,27-Sep-20
40,28-Sep-20,04-Oct-20
41,05-Oct-20,11-Oct-20
42,12-Oct-20,18-Oct-20
43,19-Oct-20,25-Oct-20
44,26-Oct-20,01-Nov-20
45,02-Nov-20,08-Nov-20
46,09-Nov-20,15-Nov-20
47,16-Nov-20,22-Nov-20
48,23-Nov-20,29-Nov-20
49,30-Nov-20,06-Dec-20
50,07-Dec-20,13-Dec-20
51,14-Dec-20,20-Dec-20
52,21-Dec-20,27-Dec-20
1,28-Dec-20,03-Jan-21
2,04-Jan-21,10-Jan-21
3,11-Jan-21,17-Jan-21
4,18-Jan-21,24-Jan-21
5,25-Jan-21,31-Jan-21
6,01-Feb-21,07-Feb-21
7,08-Feb-21,14-Feb-21
8,15-Feb-21,21-Feb-21
9,22-Feb-21,28-Feb-21
10,01-Mar-21,07-Mar-21
11,08-Mar-21,14-Mar-21
12,15-Mar-21,21-Mar-21
13,22-Mar-21,28-Mar-21
14,29-Mar-21,04-Apr-21
15,05-Apr-21,11-Apr-21
16,12-Apr-21,18-Apr-21
17,19-Apr-21,25-Apr-21
18,26-Apr-21,02-May-21
19,03-May-21,09-May-21
20,10-May-21,16-May-21
21,17-May-21,23-May-21
22,24-May-21,30-May-21
23,31-May-21,06-Jun-21
24,07-Jun-21,13-Jun-21
25,14-Jun-21,20-Jun-21
26,20-Jun-21,26-Jun-21
27,28-Jun-21,04-Jul-21
28,05-Jul-21,11-Jul-21
